GR ID,GR ID DEC,Node
0x01,1,Debugger
0x02,2,ECU
0x03,3,ACU
0x04,4,TCM
0x05,5,Dash Panel
0x06,6,Steering Wheel
0x07,7,DTI Inverter
0x08,8,GR Inverter 1
0x09,9,GR Inverter 2
0x0A,10,GR Inverter 3
0x0B,11,GR Inverter 4
0x0C,12,Charging SDC
0x0D,13,Fan Controller 1
0x0E,14,Fan Controller 2
0x0F,15,Fan Controller 3
0x10,16,Fan Controller 4
0x11,17,Fan Controller 5
0x12,18,Fan Controller 6
0x13,19,Fan Controller 7
0x14,20,Fan Controller 8
0x15,21,SAM1
0x16,22,SAM2
0x17,23,SAM3
0x18,24,SAM4
0x19,25,SAM5
0x1A,26,SAM6
0x1B,27,SAM7
0x1C,28,SAM8
0x1D,29,SAM9
0x1E,30,SAM10
0x1F,31,SAM11
0x20,32,SAM12
0x21,33,SAM13
0x22,34,SAM14
0x23,35,SAM15
0x24,36,SAM16
0x25,37,SAM17
0x26,38,SAM18
0x27,39,SAM19
0x28,40,SAM20
0x29,41,LV DC-DC
